cx,cy,rmajor,rminor,type
70,6,7.529089841200595,3.7645449206002977,MH
71,6,16.98501552676707,8.492507763383536,MH
72,6,15.582329961650501,7.7911649808252506,MH
73,6,17.73834892406871,8.869174462034355,MH
74,6,17.835963955831737,8.917981977915868,MH
75,6,14.226329846507554,7.113164923253777,MH
76,6,18.173372435186558,9.086686217593279,MH
1,7,3.6053899775084024,1.8026949887542012,MH
2,7,12.594461163338652,6.297230581669326,MH
3,7,7.919549968252713,3.9597749841263563,MH
4,7,6.3768080532152736,3.1884040266076368,MH
5,7,11.454911770800681,5.727455885400341,MH
6,7,5.400657735584982,2.700328867792491,MH
7,7,7.043136748293342,3.521568374146671,MH
8,7,8.72805707915954,4.36402853957977,MH
9,7,5.101446442572219,2.5507232212861095,MH
10,7,11.306367157248246,5.653183578624123,MH
11,7,10.811925800709425,5.405962900354712,MH
12,7,9.99917455798681,4.999587278993405,MH
13,7,12.76847056778579,6.384235283892895,MH
14,7,12.358911847562647,6.179455923781323,MH
15,7,10.888320173393534,5.444160086696767,MH
16,7,3.4441129685086156,1.7220564842543078,MH
17,7,8.447944379317805,4.223972189658903,MH
18,7,11.467644166248032,5.733822083124016,MH
19,7,9.994930426171027,4.997465213085514,MH
20,7,6.448958294083599,3.2244791470417997,MH
21,7,5.377315010598171,2.6886575052990853,MH
22,7,5.996958255702617,2.9984791278513083,MH
23,7,8.630442047396512,4.315221023698256,MH
24,7,8.341841083923208,4.170920541961604,MH
25,7,12.64539074512806,6.32269537256403,MH
26,7,10.130742644276113,5.0653713221380565,MH
27,7,12.129728729510317,6.0648643647551586,MH
28,7,12.938235840417146,6.469117920208573,MH
29,7,10.466029057723038,5.233014528861519,MH
30,7,5.984225860255265,2.9921129301276324,MH
31,7,8.44157818159413,4.220789090797065,MH
32,7,8.844770704093598,4.422385352046799,MH
33,7,10.657014989433312,5.328507494716656,MH
34,7,11.730780338826634,5.865390169413317,MH
35,7,8.64105237693597,4.320526188467985,MH
36,7,13.547268755982133,6.773634377991066,MH
37,7,8.076582845436716,4.038291422718358,MH
38,7,12.114874268155074,6.057437134077537,MH
39,7,13.224714737982557,6.612357368991279,MH
40,7,9.086686217593279,4.543343108796639,MH
41,7,9.75513697857924,4.87756848928962,MH
42,7,12.940357906325037,6.4701789531625185,MH
43,7,9.763625242210805,4.881812621105403,MH
44,7,8.119024163594554,4.059512081797277,MH
45,7,14.270893230573282,7.135446615286641,MH
46,7,17.43277143333227,8.716385716666135,MH
47,7,14.888414409769835,7.4442072048849175,MH
48,7,12.066066752273558,6.033033376136779,MH
49,7,15.89002951829483,7.945014759147415,MH
50,7,13.277766385679856,6.638883192839928,MH
51,7,14.32394487827058,7.16197243913529,MH
52,7,13.472996449205914,6.736498224602957,MH
53,7,14.035343914797277,7.017671957398639,MH
54,7,13.165296892561583,6.582648446280792,MH
55,7,11.384883595840247,5.692441797920123,MH
56,7,21.22065907891938,10.61032953945969,MH
57,7,16.225315931741758,8.112657965870879,MH
58,7,16.547869949741333,8.273934974870667,MH
59,7,12.403475231628377,6.201737615814189,MH
60,7,16.378104677109977,8.189052338554989,MH
61,7,17.555851255990003,8.777925627995002,MH
62,7,19.291701168645606,9.645850584322803,MH
63,7,18.105466326134014,9.052733163067007,MH
64,7,16.484207972504574,8.242103986252287,MH
65,7,14.003512926178898,7.001756463089449,MH
66,7,19.472076770816425,9.736038385408213,MH
67,7,13.691569237718783,6.845784618859391,MH
68,7,19.928320941013187,9.964160470506593,MH
69,7,12.751494040522656,6.375747020261328,MH
70,7,16.980771394951287,8.490385697475643,MH
71,7,10.96259248016975,5.481296240084875,MH
72,7,16.26987931580749,8.134939657903745,MH
73,7,18.415287948686238,9.207643974343119,MH
74,7,13.269278122048288,6.634639061024144,MH
75,7,19.054029786961713,9.527014893480857,MH
76,7,20.16811438860498,10.08405719430249,MH
1,8,12.857597335917253,6.428798667958627,H
2,8,20.098086213644542,10.049043106822271,H
3,8,7.9874560773052545,3.9937280386526273,H
4,8,11.811418843326527,5.905709421663263,H
5,8,15.994010747781537,7.997005373890769,H
6,8,9.337089994724527,4.668544997362264,H
7,8,7.991700209121038,3.995850104560519,H
8,8,7.921672034160604,3.960836017080302,H
9,8,13.231080935706233,6.6155404678531164,H
10,8,8.377916204357371,4.1889581021786855,H
11,8,12.940357906325037,6.4701789531625185,H
12,8,10.805559602985749,5.4027798014928745,H
13,8,9.933390514842163,4.966695257421081,H
14,8,17.16963526075367,8.584817630376834,H
15,8,15.204602230045737,7.602301115022868,H
16,8,13.396602076521805,6.698301038260903,H
17,8,15.336170316335034,7.668085158167517,H
18,8,8.006554670476282,4.003277335238141,H
19,8,17.670442815016166,8.835221407508083,H
20,8,10.748263823472666,5.374131911736333,H
21,8,9.29677074247458,4.64838537123729,H
22,8,6.665409016688577,3.3327045083442886,H
23,8,12.30798226577324,6.15399113288662,H
24,8,7.571531159358434,3.785765579679217,H
25,8,9.222498435698363,4.611249217849181,H
26,8,16.418423929359925,8.209211964679962,H
27,8,7.864376254647523,3.9321881273237613,H
28,8,6.289803350991704,3.144901675495852,H
29,8,12.52655505428611,6.263277527143055,H
30,8,11.08355023691959,5.541775118459795,H
31,8,15.323437920887683,7.661718960443841,H
32,8,11.467644166248032,5.733822083124016,H
33,8,18.06726913979196,9.03363456989598,H
34,8,11.153578411880027,5.576789205940013,H
35,8,11.20238592776154,5.60119296388077,H
36,8,10.332338905525845,5.166169452762922,H
37,8,15.230067020940437,7.6150335104702185,H
38,8,9.424094696948096,4.712047348474048,H
39,8,7.620338675239949,3.8101693376199743,H
40,8,7.853765925108062,3.926882962554031,H
41,8,11.67348455931355,5.836742279656775,H
42,8,11.843249831944906,5.921624915972453,H
43,8,12.660245206483301,6.330122603241651,H
44,8,7.656413795674112,3.828206897837056,H
45,8,7.790103947871304,3.895051973935652,H
46,8,10.35992576232844,5.17996288116422,H
47,8,11.582235725274197,5.7911178626370985,H
48,8,12.711174788272707,6.355587394136354,H
49,8,8.428845786146777,4.2144228930733885,H
50,8,8.102047636331418,4.051023818165709,H
51,8,12.072432949997236,6.036216474998618,H
